score	id	name	region	slug	idx	dist	license	source	title	page
105	3060	Porto Fino	Salamina	attica-salamina	2	99999	Public domain	commons-name	John Robert Cozens - Promontory of Porto Fino - Google Art Project.jpg	https://commons.wikimedia.org/wiki/File%3AJohn%20Robert%20Cozens%20-%20Promontory%20of%20Porto%20Fino%20-%20Google%20Art%20Project.jpg
105	3060	Porto Fino	Salamina	attica-salamina	3	99999	Public domain	commons-name	Andrew Wilson - Off Porto Fino - NG 1924 - National Galleries of Scotland.jpg	https://commons.wikimedia.org/wiki/File%3AAndrew%20Wilson%20-%20Off%20Porto%20Fino%20-%20NG%201924%20-%20National%20Galleries%20of%20Scotland.jpg
105	3060	Porto Fino	Salamina	attica-salamina	4	99999	Public domain	commons-name	Andrew Wilson (1780-1848) - Off Porto Fino - NG 1924 - National Galleries of Scotland.jpg	https://commons.wikimedia.org/wiki/File%3AAndrew%20Wilson%20(1780-1848)%20-%20Off%20Porto%20Fino%20-%20NG%201924%20-%20National%20Galleries%20of%20Scotland.jpg
105	3060	Porto Fino	Salamina	attica-salamina	5	99999	Public domain	commons-name	No.41. Plan of Porto Fino. By Seignior Ayrouard. No. 42. The The road of Sestri. By Seignior Ayrouard. No. 45. The road of (IA dr no41-plan-of-porto-fino-by-seignior-ayrouard-no-42-the-the-road-of-se-13404018).jpg	https://commons.wikimedia.org/wiki/File%3ANo.41.%20Plan%20of%20Porto%20Fino.%20By%20Seignior%20Ayrouard.%20No.%2042.%20The%20The%20road%20of%20Sestri.%20By%20Seignior%20Ayrouard.%20No.%2045.%20The%20road%20of%20(IA%20dr%20no41-plan-of-porto-fino-by-seignior-ayrouard-no-42-the-the-road-of-se-13404018).jpg
105	2218	Psili Ammos	Schinoussa	south-aegean-schinoussa	6	99999	CC BY 3.0	commons-name	Vai Psili Ammos 07.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2007.jpg
105	2218	Psili Ammos	Schinoussa	south-aegean-schinoussa	7	99999	CC BY 3.0	commons-name	Vai Psili Ammos 01.jpg	https://commons.wikimedia.org/wiki/File%3AVai%20Psili%20Ammos%2001.jpg
105	518	Kyani Akti	Thessaloniki area	central-macedonia-thessaloniki-area	0	99999	CC BY-SA 4.0	commons-name	Kyani Akti 01.JPG	https://commons.wikimedia.org/wiki/File%3AKyani%20Akti%2001.JPG
105	518	Kyani Akti	Thessaloniki area	central-macedonia-thessaloniki-area	1	99999	CC BY-SA 4.0	commons-name	Kimisis tis Theotokou (Kyani Akti) 4.JPG	https://commons.wikimedia.org/wiki/File%3AKimisis%20tis%20Theotokou%20(Kyani%20Akti)%204.JPG
105	518	Kyani Akti	Thessaloniki area	central-macedonia-thessaloniki-area	2	99999	CC BY-SA 4.0	commons-name	Kimisis tis Theotokou (Kyani Akti) 2.JPG	https://commons.wikimedia.org/wiki/File%3AKimisis%20tis%20Theotokou%20(Kyani%20Akti)%202.JPG
105	518	Kyani Akti	Thessaloniki area	central-macedonia-thessaloniki-area	3	99999	CC BY-SA 4.0	commons-name	Kimisis tis Theotokou (Kyani Akti) 1.JPG	https://commons.wikimedia.org/wiki/File%3AKimisis%20tis%20Theotokou%20(Kyani%20Akti)%201.JPG
